Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Short,Middle,Long,Buy,Sell,Profits
BHARTIARTL,EQ,311.15,309.0,314.2,306.1,312.35,313.25,310.94,3076831,95670738050000.0,47598,573058,0.1862,310.49790108818837,311.7459104981304,316.72592880208435,,,0.0
BHARTIARTL,EQ,313.25,315.0,315.45,311.0,311.7,312.2,312.76,2977404,93120997450000.0,43844,913360,0.3068,311.06526739212563,311.79370939306403,316.5822485226531,,,0.0
BHARTIARTL,EQ,312.2,311.7,315.6,309.65,310.35,311.25,312.4,2006320,62676844454999.99,32520,471516,0.23500000000000001,311.12684492808376,311.7364768253731,316.41297079177525,,,0.0
BHARTIARTL,EQ,311.25,312.45,312.55,307.3,311.7,310.55,310.57,2196566,68218987025000.0,58404,536275,0.2441,310.9345632853892,311.6115845279654,316.2268447348935,,,0.0
BHARTIARTL,EQ,310.55,309.0,309.9,296.5,301.85,300.8,301.16,7726834,232704795580000.03,87315,3367146,0.43579999999999997,307.5563755235928,310.4735229987059,315.7371036321985,,,0.0
BHARTIARTL,EQ,300.8,301.0,306.05,297.35,304.45,304.6,301.25,6063171,182655897015000.0,63096,2736437,0.45130000000000003,306.5709170157286,309.85525741989477,315.3835447867319,,,0.0
BHARTIARTL,EQ,304.6,306.9,307.15,300.05,302.3,302.55,301.85,4001810,120796343534999.98,43079,1842578,0.4604,305.2306113438191,309.0862829546427,314.9761306665182,,,0.0
BHARTIARTL,EQ,302.55,303.9,313.5,301.55,304.6,303.7,308.7,6844127,211281606690000.0,55391,1510921,0.2208,304.72040756254603,308.5193058015224,314.61815826440653,,,0.0
BHARTIARTL,EQ,303.7,305.55,310.85,304.95,308.5,309.0,307.75,5603086,172433780650000.0,53129,2290769,0.40880000000000005,306.1469383750307,308.56990519083587,314.43980403379044,,,0.0
BHARTIARTL,EQ,309.0,305.9,311.0,303.0,310.05,309.9,306.1,5232493,160169192870000.0,44595,1431179,0.2735,307.3979589166871,308.7099151707479,314.295683270813,,,0.0
BHARTIARTL,EQ,309.9,309.2,316.5,308.05,314.0,313.85,313.75,5587441,175306647985000.0,34525,1469276,0.263,309.54863927779144,309.25097673172183,314.28153459554915,,,0.0
BHARTIARTL,EQ,313.85,314.0,320.0,311.6,317.9,317.25,316.43,3744506,118485642530000.0,49165,1106885,0.2956,312.1157595185276,310.0929791810143,314.37577159251583,,,0.0
BHARTIARTL,EQ,317.25,315.7,320.5,313.4,315.1,315.45,316.66,5012987,158743309725000.0,56404,1634082,0.326,313.2271730123518,310.65687610932855,314.40987408164233,,,0.0
BHARTIARTL,EQ,315.45,318.95,325.25,314.35,323.85,320.15,319.12,4080123,130203785695000.0,46038,766502,0.18789999999999998,315.5347820082345,311.6561523083466,314.59210030127275,,,0.0
BHARTIARTL,EQ,320.15,324.9,326.95,315.95,319.45,318.05,320.07,6928578,221760056035000.0,86778,1404909,0.2028,316.3731880054897,312.329188907468,314.70187489488313,,,0.0
BHARTIARTL,EQ,318.05,317.8,317.8,302.1,308.0,307.65,307.61,26657232,820006854495000.0,166455,9063775,0.34,313.4654586703265,311.83664270668186,314.4780058506011,,,0.0
BHARTIARTL,EQ,307.65,308.0,309.2,303.6,308.0,307.85,306.51,10271412,314828882740000.0,115512,4191881,0.4081,311.59363911355103,311.4169961059785,314.267592966455,,,0.0
BHARTIARTL,EQ,307.85,310.95,313.25,308.3,309.0,309.4,310.52,6392974,198515029870000.0,51883,2181988,0.34130000000000005,310.8624260757007,311.2046807264019,314.11306620561516,,,0.0
BHARTIARTL,EQ,309.4,310.0,312.2,307.0,307.4,307.65,309.38,5828055,180307539045000.0,52747,2342411,0.4019,309.7916173838005,310.8305038078332,313.90788950067497,,,0.0
BHARTIARTL,EQ,307.65,309.75,312.0,307.65,308.5,308.7,309.59,4002947,123928874620000.0,38484,1217420,0.3041,309.4277449225337,310.60624024911397,313.7425596752567,,,0.0
BHARTIARTL,EQ,308.7,309.05,337.1,308.7,334.5,333.8,325.7,15374558,500755252730000.0,117664,6189291,0.4026,317.5518299483558,313.04768864394407,314.3793038125502,,,0.0
BHARTIARTL,EQ,333.8,332.8,354.0,329.35,350.5,351.8,346.61,27100883,939348823560000.0,195184,5434913,0.2005,328.96788663223725,317.1268793130026,315.56726242167554,,,0.0
BHARTIARTL,EQ,351.8,348.5,356.55,336.5,336.75,337.75,343.85,12612026,433665854039999.94,107665,3171726,0.2515,331.89525775482485,319.29773412216025,316.2714763130509,,,0.0
BHARTIARTL,EQ,337.75,337.0,345.95,334.55,345.95,342.4,340.45,6246873,212677530600000.0,53904,674065,0.1079,335.3968385032166,321.7295515829855,317.1009532554938,,,0.0
BHARTIARTL,EQ,342.4,344.0,344.85,331.2,337.95,337.7,336.67,10397551,350056716535000.0,81146,4010912,0.3858,336.1645590021444,323.41065141635545,317.75489124738283,,,0.0
BHARTIARTL,EQ,337.7,338.0,343.65,329.3,329.85,330.6,333.42,7007083,233632590550000.0,69606,2601906,0.3713,334.3097060014296,324.16742495147594,318.16267247762465,,,0.0
BHARTIARTL,EQ,330.6,332.0,339.45,332.0,337.15,336.75,336.06,5082584,170805031625000.0,57298,1058874,0.20829999999999999,335.1231373342864,325.49190653553114,318.7527463672239,,,0.0
BHARTIARTL,EQ,336.75,337.15,339.9,332.35,335.0,334.0,334.89,2982715,99887783980000.0,31025,631834,0.2118,334.74875822285765,326.3874953212647,319.23678616508977,,,0.0
BHARTIARTL,EQ,334.0,336.0,347.4,329.3,331.6,331.55,337.63,8213789,277322831369999.97,81745,1881082,0.22899999999999998,333.68250548190514,326.9309168663947,319.6276818423885,,,0.0
BHARTIARTL,EQ,331.55,332.9,334.9,323.2,327.15,327.0,328.45,4734760,155515111840000.0,42103,958120,0.2024,331.45500365460344,326.9381887751953,319.86172368866187,,,0.0
BHARTIARTL,EQ,327.0,328.55,331.4,326.25,328.7,327.8,328.27,3827846,125655810130000.0,41052,1074830,0.2808,330.236669103069,327.02890574622734,320.11373246045036,,,0.0
BHARTIARTL,EQ,327.8,331.0,333.0,320.4,321.6,322.5,327.92,5364208,175904488035000.0,45452,2113090,0.39390000000000003,327.657779402046,326.5521788255718,320.18948698551543,,,0.0
BHARTIARTL,EQ,322.5,322.6,333.0,317.75,330.8,329.95,327.25,12272355,401611032970000.0,92873,7239763,0.5899,328.4218529346973,326.9098442123537,320.4993445415308,,,0.0
BHARTIARTL,EQ,329.95,331.0,336.35,329.0,331.55,333.1,332.89,4459756,148461463000000.0,50896,1323719,0.2968,329.98123528979824,327.5614395584217,320.8993653497361,,,0.0
BHARTIARTL,EQ,333.1,333.9,344.95,333.2,343.0,340.8,340.15,6381272,217062096465000.0,70877,2466818,0.3866,333.58749019319885,328.9549722364826,321.5311315291096,,,0.0
BHARTIARTL,EQ,340.8,343.0,359.0,343.0,356.0,356.45,353.2,20054316,708313729145000.0,143766,7304209,0.3642,341.20832679546595,331.8491856852739,322.639667036122,,,0.0
BHARTIARTL,EQ,356.45,356.0,363.0,347.5,350.35,350.0,357.37,11041131,394572394015000.0,106929,3648475,0.33039999999999997,344.13888453031063,333.759797718403,323.5082490349752,,,0.0
BHARTIARTL,EQ,350.0,352.0,359.5,352.0,357.0,356.8,356.35,10966638,390799080200000.0,125508,4308895,0.3929,348.35925635354045,336.1850821690974,324.5651300179919,,,0.0
BHARTIARTL,EQ,356.8,358.6,359.75,353.55,358.3,356.65,356.24,3359951,119693277184999.98,30674,804604,0.2395,351.12283756902696,338.33928404603455,325.583697319008,,,0.0
BHARTIARTL,EQ,356.65,358.4,363.8,352.55,355.5,354.95,357.93,5097675,182462879165000.0,67961,869852,0.1706,352.39855837935136,340.0877804622414,326.5159608961824,,,0.0
BHARTIARTL,EQ,354.95,358.55,361.0,341.5,350.8,351.6,348.74,9079248,316626550280000.0,110697,1769890,0.1949,352.13237225290095,341.2995930451634,327.31227959789084,,,0.0
BHARTIARTL,EQ,351.6,350.8,354.4,338.0,338.45,340.0,347.35,4289454,148994276355000.0,44607,1066170,0.2486,348.08824816860067,341.16279377725147,327.71506437256096,,,0.0
BHARTIARTL,EQ,340.0,341.7,351.25,337.15,346.8,346.35,345.92,16393215,567076324545000.0,110059,5171693,0.3155,347.50883211240046,341.7088154849092,328.3066496305749,,,0.0
BHARTIARTL,EQ,346.35,347.0,350.35,339.0,343.0,341.95,343.75,7525281,258681176975000.0,93543,2325246,0.309,345.6558880749336,341.73420332860303,328.7397718645249,,,0.0
BHARTIARTL,EQ,341.95,344.9,349.0,334.8,348.0,347.7,341.45,9201883,314199679960000.0,82816,3643049,0.39590000000000003,346.33725871662244,342.36218192559215,329.3416838688257,,,0.0
BHARTIARTL,EQ,347.7,348.0,351.1,340.75,349.9,348.75,346.14,8579411,296970903365000.0,126145,4210763,0.4908,347.14150581108163,343.03458382816143,329.957820888863,,,0.0
BHARTIARTL,EQ,348.75,349.5,350.45,332.65,344.9,346.95,341.94,14545230,497354556630000.0,168063,7003539,0.4815,347.0776705407211,343.44673289888124,330.49725514635946,,,0.0
BHARTIARTL,EQ,346.95,344.0,358.55,336.6,352.0,349.4,346.74,13824740,479360235920000.0,154209,4650998,0.33640000000000003,347.85178036048075,344.07339259373583,331.0973422845703,,,0.0
BHARTIARTL,EQ,349.4,325.0,325.4,314.2,317.3,316.5,319.44,11412878,364570417785000.0,110806,2255856,0.1977,337.40118690698716,341.17093021544787,330.63393459299664,,,0.0
BHARTIARTL,EQ,316.5,316.5,326.3,315.6,323.75,324.5,322.13,7029531,226440426135000.0,71090,1857747,0.2643,333.1007912713248,339.416095455927,330.4392065106793,,,0.0
BHARTIARTL,EQ,324.5,322.8,332.9,321.0,332.7,328.5,327.66,11305703,370438581820000.0,76972,6553370,0.5797,331.56719418088323,338.26703277635573,330.37764439922915,,,0.0
BHARTIARTL,EQ,328.5,330.0,335.7,322.3,325.25,325.45,327.0,4908166,160496195050000.0,64764,1280274,0.2608,329.52812945392213,336.91787143147616,330.22121124369806,,,0.0
BHARTIARTL,EQ,325.45,324.0,326.8,314.05,319.75,320.3,318.75,6026790,192105153010000.0,101103,2510689,0.41659999999999997,326.45208630261476,335.16862180711024,329.9062521565965,,,0.0
BHARTIARTL,EQ,320.3,322.9,329.4,321.6,325.6,324.2,326.15,7779750,253739968669999.97,67167,2443049,0.314,325.7013908684099,334.0140300379407,329.72510129448233,,,0.0
BHARTIARTL,EQ,324.2,324.45,333.85,324.45,332.75,331.45,330.73,9718936,321438437225000.0,111612,3558238,0.3661,327.61759391227326,333.74413213921014,329.7798599835464,,331.45,33145.0
BHARTIARTL,EQ,331.45,331.45,336.4,326.5,333.25,333.45,332.08,14596079,484707817185000.06,122731,5611023,0.38439999999999996,329.56172927484886,333.71317086139857,329.8963723650211,,,0.0
BHARTIARTL,EQ,333.45,340.0,340.85,321.45,323.85,324.95,330.53,17408388,575403186495000.0,133670,4800265,0.2757,328.0244861832326,332.7907318233566,329.73934467089344,,,0.0
BHARTIARTL,EQ,324.95,324.85,327.45,320.1,325.0,324.5,323.94,4774792,154675137935000.0,60927,898161,0.1881,326.84965745548845,331.9180232103717,329.57301626864285,,,0.0
BHARTIARTL,EQ,324.5,321.25,326.2,312.6,318.5,315.45,320.52,7850740,251633073469999.97,77427,3372094,0.42950000000000005,323.0497716369923,330.1845470829642,329.1246665458288,,,0.0
BHARTIARTL,EQ,315.45,318.9,328.4,315.2,321.5,324.1,322.96,7711197,249041392710000.0,77863,1556406,0.2018,323.3998477579949,329.5440684426522,328.9651533221517,,,0.0
BHARTIARTL,EQ,324.1,321.5,327.35,314.65,319.8,318.65,323.43,6498273,210176001470000.0,60645,2722062,0.4189,321.8165651719966,328.39732439605723,328.6376881373215,318.65,,-31864.999999999996
BHARTIARTL,EQ,318.65,316.0,339.7,315.2,338.0,336.6,330.06,10752770,354901328970000.0,93074,2780565,0.2586,326.7443767813311,329.26076393331437,328.8904599424859,,,0.0
BHARTIARTL,EQ,336.6,336.0,338.0,328.7,330.85,331.25,333.58,7639127,254827980030000.03,106167,2859517,0.3743,328.2462511875541,329.4701572034918,328.9653659760578,,,0.0
BHARTIARTL,EQ,331.25,332.0,333.3,321.05,323.75,325.2,326.23,4507071,147032275960000.0,62740,1188339,0.2637,327.2308341250361,329.02066697154527,328.84583054824645,,,0.0
